Name,Cost,Set Name,R, High , Med , Low 
 Lead the Stampede,2G, Iconic Masters,C,1.9,0.25,0.04
 Nature's Claim,G, Iconic Masters,C,1.9,0.21,0.05
 Overgrown Battlement,1G, Iconic Masters,U,1.9,0.23,0.05
 Path of Bravery,2W, Iconic Masters,R,1.9,0.3,0.07
 Radiant Fountain,, Iconic Masters,C,1.9,0.2,0.05
 Rosheen Meanderer,3(R/G), Iconic Masters,U,1.9,0.23,0.05
 Search for Tomorrow,2G, Iconic Masters,C,1.9,0.25,0.05
 Selesnya Sanctuary,, Iconic Masters,U,1.9,0.25,0.07
 Simic Growth Chamber,, Iconic Masters,U,1.9,0.38,0.12
 Thought Scour,U, Iconic Masters,C,1.9,0.34,0.03
 Trepanation Blade,3, Iconic Masters,U,1.9,0.21,0.02
 Vizkopa Guildmage,WB, Iconic Masters,U,1.9,0.24,0.07
 Wall of Roots,1G, Iconic Masters,C,1.9,0.27,0.1
 Wing Shards,1WW, Iconic Masters,U,1.9,0.2,0.01
 Wrench Mind,BB, Iconic Masters,C,1.9,0.25,0.02
 Simic Sky Swallower,5GU, Iconic Masters,R,1.89,0.35,0.05
 Spiritmonger,3BG, Iconic Masters,R,1.89,0.41,0.09
 Keldon Halberdier,4R, Iconic Masters,C,1.77,0.14,0.01
 Boros Garrison,, Iconic Masters,U,1.75,0.28,0.08
 Scourge of Valkas,2RRR, Iconic Masters,R,1.39,0.5,0.13
 Electrolyze,1UR, Iconic Masters,U,1.36,0.34,0.1
 Curse of Predation,2G, Iconic Masters,R,1.14,0.35,0.09
 Bladewing the Risen,3BBRR, Iconic Masters,U,1.11,0.32,0.07
 Burrenton Forge-Tender,W, Iconic Masters,U,1.11,0.3,0.1
 Orzhov Basilica,, Iconic Masters,U,1.11,0.25,0.14
 Bogbrew Witch,3B, Iconic Masters,U,1,0.16,0.02
 Bubbling Cauldron,2, Iconic Masters,U,1,0.19,0.02
 Dragonloft Idol,4, Iconic Masters,U,1,0.19,0.01
 Durkwood Baloth,4GG, Iconic Masters,C,1,0.14,0.01
 Enlarge,3GG, Iconic Masters,U,1,0.18,0.02
 Furnace Whelp,2RR, Iconic Masters,C,1,0.14,0.01
 Great Teacher's Decree,3W, Iconic Masters,U,1,0.15,0.01
 Haunting Hymn,4BB, Iconic Masters,U,1,0.17,0.01
 Inspiring Call,2G, Iconic Masters,U,1,0.21,0.05
 Serra Angel,3WW, Iconic Masters,U,1,0.19,0.01
 Wildsize,2G, Iconic Masters,C,1,0.14,0.01
 Angel Token (001),, Iconic Masters,T,0.99,0.19,0.07
 Beast Token (007),, Iconic Masters,T,0.99,0.11,0.01
 Bird Token (002),, Iconic Masters,T,0.99,0.1,0.02
 Djinn Monk Token (004),, Iconic Masters,T,0.99,0.1,0.01
 Dragon Token (005),, Iconic Masters,T,0.99,0.11,0.01
 Dragon Token (006),, Iconic Masters,T,0.99,0.15,0.03
 Palladium Myr,3, Iconic Masters,U,0.99,0.36,0.1
 Sandstone Oracle,7, Iconic Masters,U,0.99,0.17,0.04
 Spirit Token (003),, Iconic Masters,T,0.99,0.1,0.01
 Aerial Predation,2G, Iconic Masters,C,0.95,0.14,0.01
 Ainok Bond-Kin,1W, Iconic Masters,C,0.95,0.14,0.01
 Amass the Components,3U, Iconic Masters,C,0.95,0.14,0.01
 Angel of Mercy,4W, Iconic Masters,C,0.95,0.13,0.01
 Bala Ged Scorpion,3B, Iconic Masters,C,0.95,0.14,0.01
 Benevolent Ancestor,2W, Iconic Masters,C,0.95,0.13,0.01
 Blinding Mage,1W, Iconic Masters,C,0.95,0.14,0.01
 Butcher's Glee,2B, Iconic Masters,C,0.95,0.14,0.01
 Child of Night,1B, Iconic Masters,C,0.95,0.14,0.01
 Crowned Ceratok,3G, Iconic Masters,C,0.95,0.14,0.01
 Darksteel Axe,1, Iconic Masters,C,0.95,0.15,0.01
 Diminish,U, Iconic Masters,C,0.95,0.14,0.01
 Disenchant,1W, Iconic Masters,C,0.95,0.16,0.01
 Dissolve,1UU, Iconic Masters,C,0.95,0.18,0.04
 Doorkeeper,1U, Iconic Masters,C,0.95,0.14,0.01
 Draconic Roar,1R, Iconic Masters,C,0.95,0.15,0.02
 Dragon Bell Monk,2W, Iconic Masters,C,0.95,0.14,0.01
 Duress,B, Iconic Masters,C,0.95,0.16,0.02
 Duskdale Wurm,5GG, Iconic Masters,C,0.95,0.14,0.01
 Earth Elemental,3RR, Iconic Masters,C,0.95,0.13,0.01
 Elusive Spellfist,1U, Iconic Masters,C,0.95,0.14,0.01
 Eternal Thirst,1B, Iconic Masters,C,0.95,0.15,0.01
 Evolving Wilds,, Iconic Masters,C,0.95,0.15,0.03
 Festering Newt,B, Iconic Masters,C,0.95,0.13,0.01
 Foul-Tongue Invocation,2B, Iconic Masters,C,0.95,0.13,0.01
 Frost Lynx,2U, Iconic Masters,C,0.95,0.14,0.01
 Grisly Spectacle,2B, Iconic Masters,C,0.95,0.14,0.01
 Guard Duty,W, Iconic Masters,C,0.95,0.14,0.01
 Guardian Idol,2, Iconic Masters,C,0.95,0.16,0.02
 Hammerhand,R, Iconic Masters,C,0.95,0.14,0.01
 Heat Ray,XR, Iconic Masters,C,0.95,0.14,0.01
 Hunt the Weak,3G, Iconic Masters,C,0.95,0.13,0.01
 Infantry Veteran,W, Iconic Masters,C,0.95,0.14,0.01
 Iona's Judgment,4W, Iconic Masters,C,0.95,0.14,0.01
 Jhessian Thief,2U, Iconic Masters,C,0.95,0.14,0.01
 Mark of Mutiny,2R, Iconic Masters,C,0.95,0.14,0.01
 Moonglove Extract,3, Iconic Masters,C,0.95,0.14,0.01
 Nantuko Shaman,2G, Iconic Masters,C,0.95,0.14,0.01
 Phyrexian Rager,2B, Iconic Masters,C,0.95,0.14,0.01
 Pillar of Flame,R, Iconic Masters,C,0.95,0.14,0.01
 Prey's Vengeance,G, Iconic Masters,C,0.95,0.14,0.01
 Repeal,XU, Iconic Masters,C,0.95,0.15,0.02
 Rotfeaster Maggot,4B, Iconic Masters,C,0.95,0.13,0.01
 Seeker of the Way,1W, Iconic Masters,C,0.95,0.19,0.03
 Stalwart Aven,2W, Iconic Masters,C,0.95,0.13,0.01
 Survival Cache,2W, Iconic Masters,C,0.95,0.14,0.03
 Sustainer of the Realm,2WW, Iconic Masters,C,0.95,0.14,0.01
 Trumpet Blast,2R, Iconic Masters,C,0.95,0.13,0.01
 Heroes' Bane,3GG, Iconic Masters,U,0.94,0.21,0.03
 Pentarch Ward,2W, Iconic Masters,C,0.94,0.14,0.02
 Phantom Tiger,2G, Iconic Masters,C,0.94,0.14,0.01
 Runed Servitor,2, Iconic Masters,C,0.94,0.14,0.01
 Shimmering Grotto,, Iconic Masters,C,0.94,0.15,0.01
 Indulgent Tormentor,3BB, Iconic Masters,U,0.88,0.23,0.09
 Wight of Precinct Six,1B, Iconic Masters,C,0.88,0.17,0.02
 Assault Formation,1G, Iconic Masters,U,0.8,0.31,0.08
 Mahamoti Djinn,4UU, Iconic Masters,U,0.8,0.2,0.01
 Balustrade Spy,3B, Iconic Masters,C,0.71,0.14,0.01
 Pristine Talisman,3, Iconic Masters,U,0.66,0.19,0.04
 Skywise Teachings,3U, Iconic Masters,U,0.62,0.18,0.02
 Bladewing's Thrall,2B, Iconic Masters,U,0.6,0.19,0.03
 Cephalid Broker,3U, Iconic Masters,U,0.6,0.17,0.01
 Chronicler of Heroes,1GW, Iconic Masters,U,0.6,0.15,0.02
 Claustrophobia,1UU, Iconic Masters,C,0.6,0.14,0.01
 Dead Reveler,2B, Iconic Masters,C,0.6,0.14,0.01
 Doomed Traveler,W, Iconic Masters,C,0.6,0.15,0.02
 Dragon Egg,2R, Iconic Masters,C,0.6,0.15,0.02
 Dragonlord's Servant,1R, Iconic Masters,C,0.6,0.16,0.03
 Fury Charm,1R, Iconic Masters,C,0.6,0.15,0.01
 Greater Basilisk,3GG, Iconic Masters,C,0.6,0.14,0.01
 Guided Strike,1W, Iconic Masters,C,0.6,0.13,0.01
 Hoarding Dragon,3RR, Iconic Masters,U,0.6,0.18,0.04
 Hunting Pack,5GG, Iconic Masters,U,0.6,0.18,0.02
 Illusory Ambusher,4U, Iconic Masters,U,0.6,0.15,0.02
 Ivy Elemental,XG, Iconic Masters,C,0.6,0.15,0.02
 Jaddi Offshoot,G, Iconic Masters,C,0.6,0.15,0.01
 Jungle Barrier,2GU, Iconic Masters,U,0.6,0.17,0.02
 Kolaghan Monument,3, Iconic Masters,U,0.6,0.18,0.02
 Manakin,2, Iconic Masters,C,0.6,0.15,0.01
 Mnemonic Wall,4U, Iconic Masters,C,0.6,0.15,0.02
 Netcaster Spider,2G, Iconic Masters,C,0.6,0.14,0.01
 Noxious Dragon,4BB, Iconic Masters,U,0.6,0.16,0.03
 Ojutai's Breath,2U, Iconic Masters,C,0.6,0.14,0.01
 Phantom Monster,3U, Iconic Masters,C,0.6,0.13,0.01
 Prodigal Pyromancer,2R, Iconic Masters,U,0.6,0.16,0.01
 Rakdos Drake,2B, Iconic Masters,C,0.6,0.13,0.01
 Reave Soul,1B, Iconic Masters,C,0.6,0.14,0.01
 Riverwheel Aerialists,5U, Iconic Masters,C,0.6,0.13,0.01
 Scion of Ugin,6, Iconic Masters,C,0.6,0.14,0.02
 Shriekgeist,1U, Iconic Masters,C,0.6,0.14,0.01
 Splatter Thug,2R, Iconic Masters,C,0.6,0.14,0.01
 Staggershock,2R, Iconic Masters,U,0.6,0.18,0.01
 Star Compass,2, Iconic Masters,C,0.6,0.16,0.04
 Student of Ojutai,3W, Iconic Masters,C,0.6,0.13,0.01
 Sultai Flayer,3G, Iconic Masters,U,0.6,0.19,0.01
 Surreal Memoir,3R, Iconic Masters,U,0.6,0.17,0.01
 Tavern Swindler,1B, Iconic Masters,U,0.6,0.15,0.01
 Thrill-Kill Assassin,1B, Iconic Masters,C,0.6,0.15,0.02
 Timberland Guide,1G, Iconic Masters,C,0.6,0.14,0.01
 Topan Freeblade,1W, Iconic Masters,U,0.6,0.15,0.01
 Tormenting Voice,1R, Iconic Masters,C,0.6,0.15,0.01
 Ulcerate,B, Iconic Masters,U,0.6,0.17,0.02
 Undercity Troll,1G, Iconic Masters,U,0.6,0.18,0.01
 Vent Sentinel,3R, Iconic Masters,C,0.6,0.14,0.01
 Virulent Swipe,B, Iconic Masters,C,0.6,0.14,0.01
 Lure,1GG, Iconic Masters,U,0.58,0.17,0.02
 Mer-Ek Nightblade,3B, Iconic Masters,U,0.55,0.17,0.02
 Coordinated Assault,R, Iconic Masters,U,0.5,0.1,0.01
