"loan_amnt","term","int_rate","installment","grade","sub_grade","emp_length","home_ownership","annual_inc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","pub_rec_bankruptcies","collections_12_mths_ex_med","mths_since_last_major_derog"
25000,36,20.39,934.07,"D","D4","10+ years","RENT",145000,"Debt consolidation","Debt consolidation","481xx","MI",20.97,0,0,36,NA,21,0,25474,68.1,28,"f",0,0,"null"
26000,36,6.83,800.79,"A","A3","10+ years","RENT",90000,"Debt consolidation","Debt consolidation","223xx","VA",10.04,1,0,22,NA,13,0,11286,30.4,23,"f",0,1,"22"
22000,36,20.39,821.98,"D","D4","3 years","RENT",58000,"Debt consolidation","Debt consolidation","750xx","TX",22.02,0,1,24,NA,14,0,17968,71,42,"f",0,0,"24"
24000,36,11.05,786.3,"B","B4","10+ years","MORTGAGE",70000,"Credit card refinancing","Credit card refinancing","378xx","TN",25.22,0,0,62,NA,20,0,38696,37.1,39,"f",0,0,"null"
30000,36,14.52,1032.93,"C","C3","10+ years","RENT",65000,"Debt consolidation","Debt consolidation","957xx","CA",18.91,0,0,NA,108,8,1,17074,82.1,10,"f",1,0,"null"
36000,36,6.83,1108.78,"A","A3","3 years","RENT",73500,"Other","Other","606xx","IL",19.12,0,1,NA,NA,10,0,4326,10.3,24,"f",0,0,"null"
40000,36,8.08,1254.94,"A","A5","1 year","MORTGAGE",100000,"Debt consolidation","Debt consolidation","770xx","TX",19.96,0,0,NA,NA,9,0,30734,64.7,12,"f",0,0,"null"
25000,36,8.08,784.34,"A","A5","10+ years","RENT",120000,"Credit card refinancing","Credit card refinancing","941xx","CA",27.48,0,0,NA,NA,21,0,19620,20.6,30,"f",0,0,"null"
35500,36,5.31,1068.92,"A","A1","10+ years","OWN",150000,"Credit card refinancing","Credit card refinancing","208xx","MD",19.04,0,0,NA,NA,11,0,105411,95.1,18,"f",0,0,"null"
40000,36,12.13,1331.06,"B","B5","10+ years","MORTGAGE",250000,"Home improvement","Home improvement","980xx","WA",5.53,1,0,6,NA,4,0,175924,10.4,7,"f",0,0,"null"
35000,36,6.83,1077.99,"A","A3","10+ years","MORTGAGE",275000,"Credit card refinancing","Credit card refinancing","020xx","MA",7.75,7,0,9,NA,25,0,150943,55.5,89,"f",0,0,"23"
40000,36,6.83,1231.98,"A","A3","2 years","MORTGAGE",250000,"Credit card refinancing","Credit card refinancing","282xx","NC",16.43,0,1,40,NA,18,0,56694,62,49,"f",0,0,"54"
40000,36,7.46,1243.52,"A","A4","2 years","RENT",200000,"Credit card refinancing","Credit card refinancing","100xx","NY",11.44,0,1,NA,NA,13,0,45920,43.1,17,"f",0,0,"null"
40000,36,5.31,1204.42,"A","A1","6 years","MORTGAGE",135000,"Home improvement","Home improvement","209xx","MD",10.36,0,0,NA,NA,21,0,23423,20.7,30,"f",0,0,"null"
40000,36,5.31,1204.42,"A","A1","< 1 year","RENT",130000,"Debt consolidation","Debt consolidation","900xx","CA",11.03,0,0,NA,NA,16,0,29891,65.7,21,"f",0,0,"null"
30000,36,10.56,975.93,"B","B3","3 years","RENT",72000,"Debt consolidation","Debt consolidation","606xx","IL",6.23,0,1,77,73,6,1,8311,40.1,16,"f",1,0,"77"
40000,36,16.46,1415.39,"C","C5","3 years","MORTGAGE",5805,"Debt consolidation","Debt consolidation","134xx","NY",173.71,0,0,NA,NA,6,0,38179,86,11,"f",0,0,"null"
32000,36,11.05,1048.4,"B","B4","10+ years","MORTGAGE",90000,"Debt consolidation","Debt consolidation","531xx","WI",17.69,0,3,NA,NA,11,0,24877,58.5,19,"f",0,0,"null"
35000,36,10.56,1138.58,"B","B3","10+ years","MORTGAGE",122507,"Other","Other","190xx","PA",9.8,0,0,49,NA,4,0,0,0,6,"f",0,0,"49"
30000,36,15.49,1047.18,"C","C4","6 years","RENT",95000,"Credit card refinancing","Credit card refinancing","917xx","CA",19.98,0,0,35,NA,19,0,19612,38.8,25,"f",0,0,"null"
40000,36,7.46,1243.52,"A","A4","3 years","MORTGAGE",79000,"Debt consolidation","Debt consolidation","352xx","AL",18,0,0,36,NA,16,0,22455,48.8,26,"f",0,0,"36"
40000,60,6.83,788.85,"A","A3","10+ years","MORTGAGE",99000,"Credit card refinancing","Credit card refinancing","302xx","GA",23.2,0,0,26,NA,19,0,21116,24.4,37,"f",0,0,"26"
