"points","first_name","last_name","Position","Name...ID","Name","ID","Salary","Game.Info"
9.505,"jk","dobbins","RB","J.K. Dobbins (24169400)","jk dobbins",24169400,5300,"BAL@NE 09/25/2022 01:00PM ET"
9.36325,"donta","foreman","RB","D'Onta Foreman (24169580)","donta foreman",24169580,4000,"NO@CAR 09/25/2022 01:00PM ET"
9.30225,"clyde","edwardshelaire","RB","Clyde Edwards-Helaire (24169368)","clyde edwardshelaire",24169368,6300,"KC@IND 09/25/2022 01:00PM ET"
9.085,"raheem","mostert","RB","Raheem Mostert (24169456)","raheem mostert",24169456,4500,"BUF@MIA 09/25/2022 01:00PM ET"
8.8775,"damien","harris","RB","Damien Harris (24169386)","damien harris",24169386,5600,"BAL@NE 09/25/2022 01:00PM ET"
8.6795,"michael","carter","RB","Michael Carter (24169408)","michael carter",24169408,5200,"CIN@NYJ 09/25/2022 01:00PM ET"
8.527,"brian","robinson","RB","Brian Robinson Jr. (24169454)","brian robinson",24169454,4500,"PHI@WAS 09/25/2022 01:00PM ET"
8.4205,"james","conner","RB","James Conner (24169370)","james conner",24169370,6200,"LAR@ARI 09/25/2022 04:25PM ET"
8.32,"chase","edmonds","RB","Chase Edmonds (24169412)","chase edmonds",24169412,5100,"BUF@MIA 09/25/2022 01:00PM ET"
8.13975,"aj","dillon","RB","AJ Dillon (24169374)","aj dillon",24169374,6000,"GB@TB 09/25/2022 04:25PM ET"
8.113,"jamaal","williams","RB","Jamaal Williams (24169398)","jamaal williams",24169398,5400,"DET@MIN 09/25/2022 01:00PM ET"
8.05575,"cordarrelle","patterson","RB","Cordarrelle Patterson (24169378)","cordarrelle patterson",24169378,5800,"ATL@SEA 09/25/2022 04:25PM ET"
8.0165,"devin","singletary","RB","Devin Singletary (24169384)","devin singletary",24169384,5600,"BUF@MIA 09/25/2022 01:00PM ET"
7.9225,"antonio","gibson","RB","Antonio Gibson (24169366)","antonio gibson",24169366,6400,"PHI@WAS 09/25/2022 01:00PM ET"
7.84875,"james","robinson","RB","James Robinson (24169372)","james robinson",24169372,6100,"JAX@LAC 09/25/2022 04:05PM ET"
7.754,"darrell","henderson","RB","Darrell Henderson Jr. (24169382)","darrell henderson",24169382,5700,"LAR@ARI 09/25/2022 04:25PM ET"
6.242,"kenyan","drake","RB","Kenyan Drake (24169434)","kenyan drake",24169434,4800,"BAL@NE 09/25/2022 01:00PM ET"
6.07975,"eno","benjamin","RB","Eno Benjamin (24169444)","eno benjamin",24169444,4700,"LAR@ARI 09/25/2022 04:25PM ET"
5.5945,"caleb","huntley","RB","Caleb Huntley (24169572)","caleb huntley",24169572,4000,"ATL@SEA 09/25/2022 04:25PM ET"
5.506,"khalil","herbert","RB","Khalil Herbert (24169406)","khalil herbert",24169406,5200,"HOU@CHI 09/25/2022 01:00PM ET"
5.5055,"tyler","allgeier","RB","Tyler Allgeier (24169462)","tyler allgeier",24169462,4400,"ATL@SEA 09/25/2022 04:25PM ET"
5.26025,"nyheim","hines","RB","Nyheim Hines (24169424)","nyheim hines",24169424,5000,"KC@IND 09/25/2022 01:00PM ET"
5.118,"rex","burkhead","RB","Rex Burkhead (24169430)","rex burkhead",24169430,4900,"HOU@CHI 09/25/2022 01:00PM ET"
