Name,Cost,Set Name,R,High,Med,Low
 Elixir of Vitality,4, Mirage,U,$1.86 ,$0.24 ,$0.05 
 Emberwilde Caliph,2UR, Mirage,R,$16.49 ,$0.49 ,$0.20 
 Emberwilde Djinn,2RR, Mirage,R,$16.49 ,$0.50 ,$0.25 
 Energy Bolt,XRW, Mirage,R,$16.49 ,$1.06 ,$0.47 
 Energy Vortex,3UU, Mirage,R,$16.49 ,$0.88 ,$0.24 
 Enfeeblement,BB, Mirage,C,$4.99 ,$0.20 ,$0.03 
 Enlightened Tutor,W, Mirage,U,$69.99 ,$37.24 ,$31.76 
 Ersatz Gnomes,3, Mirage,U,$9.99 ,$0.25 ,$0.06 
 Ether Well,3U, Mirage,U,$1.86 ,$0.25 ,$0.08 
 Ethereal Champion,2WWW, Mirage,R,$16.49 ,$0.38 ,$0.12 
 Fallow Earth,2G, Mirage,U,$9.99 ,$0.25 ,$0.07 
 Favorable Destiny,1W, Mirage,U,$1.99 ,$0.25 ,$0.08 
 Femeref Archers,2G, Mirage,U,$9.60 ,$0.25 ,$0.06 
 Femeref Healer,1W, Mirage,C,$1.81 ,$0.20 ,$0.04 
 Femeref Knight,2W, Mirage,C,$1.82 ,$0.19 ,$0.05 
 Femeref Scouts,2W, Mirage,C,$1.81 ,$0.19 ,$0.03 
 Feral Shadow,2B, Mirage,C,$1.81 ,$0.19 ,$0.02 
 Fetid Horror,3B, Mirage,C,$1.82 ,$0.20 ,$0.03 
 Final Fortune,RR, Mirage,R,$16.49 ,$5.69 ,$3.41 
 Fire Diamond,2, Mirage,U,$6.99 ,$2.57 ,$1.50 
 Firebreathing,R, Mirage,C,$1.80 ,$0.19 ,$0.03 
 Flame Elemental,2RR, Mirage,U,$1.99 ,$0.25 ,$0.05 
 Flare,2R, Mirage,C,$3.99 ,$0.19 ,$0.04 
 Flash,1U, Mirage,R,$19.99 ,$2.78 ,$0.78 
 Flood Plain,, Mirage,U,$9.99 ,$1.65 ,$0.70 
 Floodgate,3U, Mirage,U,$4.99 ,$0.25 ,$0.08 
 Fog,G, Mirage,C,$2.50 ,$0.23 ,$0.06 
 Foratog,2G, Mirage,U,$4.99 ,$0.25 ,$0.05 
 Forbidden Crypt,3BB, Mirage,R,$16.49 ,$0.47 ,$0.14 
 Forest (Pink Flowers Right),, Mirage,L,$1.49 ,$0.54 ,$0.25 
 Forest (Red Tree Leaves),, Mirage,L,$1.12 ,$0.35 ,$0.13 
 Forest (Waterfall),, Mirage,L,$2.99 ,$0.93 ,$0.40 
 Forest (White Flowers Right),, Mirage,L,$1.38 ,$0.39 ,$0.10 
 Forsaken Wastes,2B, Mirage,R,$29.99 ,$2.51 ,$1.61 
 Frenetic Efreet,1UR, Mirage,R,$16.49 ,$2.28 ,$1.08 
 Giant Mantis,3G, Mirage,C,$1.81 ,$0.20 ,$0.04 
 Gibbering Hyenas,2G, Mirage,C,$1.79 ,$0.20 ,$0.02 
 Goblin Elite Infantry,1R, Mirage,C,$1.80 ,$0.20 ,$0.03 
 Goblin Scouts,3RR, Mirage,U,$9.99 ,$0.25 ,$0.06 
 Goblin Soothsayer,R, Mirage,U,$9.99 ,$0.37 ,$0.20 
 Goblin Tinkerer,1R, Mirage,C,$15.00 ,$0.21 ,$0.05 
 Granger Guildmage,G, Mirage,C,$4.99 ,$0.18 ,$0.03 
 Grasslands,, Mirage,U,$9.99 ,$1.61 ,$0.44 
 Grave Servitude,1B, Mirage,C,$1.81 ,$0.19 ,$0.04 
 Gravebane Zombie,3B, Mirage,C,$1.81 ,$0.20 ,$0.03 
 Grim Feast,1BG, Mirage,R,$16.49 ,$2.50 ,$0.86 
 Grinning Totem,4, Mirage,R,$4.99 ,$0.49 ,$0.19 
" Hakim, Loreweaver",3UU, Mirage,R,$16.49 ,$0.74 ,$0.31 
 Hall of Gemstone,1GG, Mirage,R,$79.99 ,$16.49 ,$11.67 
 Hammer of Bogardan,1RR, Mirage,R,$16.49 ,$0.96 ,$0.27 
 Harbinger of Night,2BB, Mirage,R,$48.17 ,$2.85 ,$1.67 
 Harbor Guardian,2WU, Mirage,U,$1.84 ,$0.24 ,$0.07 
 Harmattan Efreet,2UU, Mirage,U,$1.85 ,$0.23 ,$0.05 
 Haunting Apparition,1UB, Mirage,U,$1.82 ,$0.24 ,$0.05 
 Hazerider Drake,2WU, Mirage,U,$4.99 ,$0.25 ,$0.08 
 Healing Salve,W, Mirage,C,$1.81 ,$0.19 ,$0.03 
 Hivis of the Scale,3RR, Mirage,R,$16.49 ,$0.60 ,$0.25 
 Horrible Hordes,3, Mirage,U,$1.85 ,$0.24 ,$0.06 
 Igneous Golem,5, Mirage,U,$1.86 ,$0.24 ,$0.06 
 Illicit Auction,3RR, Mirage,R,$16.49 ,$1.25 ,$0.71 
 Illumination,WW, Mirage,U,$8.99 ,$0.31 ,$0.08 
 Incinerate,1R, Mirage,C,$4.99 ,$0.25 ,$0.03 
 Infernal Contract,BBB, Mirage,R,$34.99 ,$0.75 ,$0.20 
 Iron Tusk Elephant,4W, Mirage,U,$1.87 ,$0.25 ,$0.08 
 Island (Off-Center Spire),, Mirage,L,$1.75 ,$0.45 ,$0.20 
 Island (Palm Tree),, Mirage,L,$1.99 ,$0.73 ,$0.30 
 Island (Rocky Water),, Mirage,L,$1.70 ,$0.39 ,$0.20 
 Island (Sunset),, Mirage,L,$3.13 ,$1.20 ,$0.46 
 Ivory Charm,W, Mirage,C,$1.83 ,$0.19 ,$0.05 
 Jabari's Influence,3WW, Mirage,R,$16.49 ,$0.75 ,$0.24 
 Jolrael's Centaur,1GG, Mirage,C,$9.60 ,$0.20 ,$0.05 
 Jolt,2U, Mirage,C,$1.81 ,$0.19 ,$0.04 
 Jungle Patrol,3G, Mirage,R,$16.49 ,$0.63 ,$0.25 
 Jungle Troll,1RG, Mirage,U,$1.85 ,$0.24 ,$0.06 
 Jungle Wurm,3GG, Mirage,C,$1.81 ,$0.19 ,$0.03 
 Kaervek's Hex,3B, Mirage,U,$1.99 ,$0.25 ,$0.06 
 Kaervek's Purge,XBR, Mirage,U,$1.86 ,$0.25 ,$0.06 
 Kaervek's Torch,XR, Mirage,C,$4.99 ,$0.25 ,$0.09 
 Karoo Meerkat,1G, Mirage,U,$9.99 ,$0.25 ,$0.09 
 Kukemssa Pirates,3U, Mirage,R,$16.49 ,$2.03 ,$1.17 
 Kukemssa Serpent,3U, Mirage,C,$1.82 ,$0.18 ,$0.03 
 Lead Golem,5, Mirage,U,$1.82 ,$0.23 ,$0.05 
 Leering Gargoyle,1WU, Mirage,R,$16.49 ,$0.49 ,$0.20 
 Lightning Reflexes,1R, Mirage,C,$1.80 ,$0.18 ,$0.03 
 Lion's Eye Diamond,0, Mirage,R,$419.98 ,$300.00 ,$259.01 
 Locust Swarm,3G, Mirage,U,$1.86 ,$0.24 ,$0.05 
 Lure of Prey,2GG, Mirage,R,$16.19 ,$7.09 ,$3.42 
 Malignant Growth,3GU, Mirage,R,$16.49 ,$0.57 ,$0.08 
 Mana Prism,3, Mirage,U,$4.99 ,$0.25 ,$0.05 
 Mangara's Blessing,2W, Mirage,U,$1.87 ,$0.25 ,$0.08 
 Mangara's Equity,1WW, Mirage,U,$1.87 ,$0.25 ,$0.06 
 Mangara's Tome,5, Mirage,R,$16.49 ,$1.61 ,$0.60 
 Marble Diamond,2, Mirage,U,$9.99 ,$1.74 ,$0.80 
 Maro,2GG, Mirage,R,$4.99 ,$0.44 ,$0.16 
 Meddle,1U, Mirage,U,$9.99 ,$0.25 ,$0.06 
 Melesse Spirit,3WW, Mirage,U,$6.99 ,$0.25 ,$0.08 
 Memory Lapse,1U, Mirage,C,$2.99 ,$0.24 ,$0.05 
 Merfolk Raiders,1U, Mirage,C,$1.83 ,$0.19 ,$0.05 
 Merfolk Seer,2U, Mirage,C,$1.81 ,$0.19 ,$0.03 
 Mind Bend,U, Mirage,U,$1.91 ,$0.25 ,$0.07 
 Mind Harness,U, Mirage,U,$1.99 ,$0.34 ,$0.05 
 Mindbender Spores,2G, Mirage,R,$4.99 ,$1.04 ,$0.36 
 Mire Shade,1B, Mirage,U,$1.99 ,$0.24 ,$0.06 
 Misers' Cage,3, Mirage,R,$16.49 ,$0.79 ,$0.31 
 Mist Dragon,4UU, Mirage,R,$16.49 ,$1.09 ,$0.50 
 Moss Diamond,2, Mirage,U,$6.99 ,$0.28 ,$0.05 
 Mountain,, Mirage,L,N/A,N/A,N/A
 Mountain (Green),, Mirage,L,$1.99 ,$0.72 ,$0.40 
 Mountain (Orange),, Mirage,L,$1.23 ,$0.50 ,$0.24 
 Mountain (Purple),, Mirage,L,$1.75 ,$0.45 ,$0.09 
 Mountain (Red),, Mirage,L,$5.00 ,$1.54 ,$0.82 
 Mountain Valley,, Mirage,U,$4.99 ,$1.65 ,$0.50 
 Mtenda Griffin,3W, Mirage,U,$1.86 ,$0.25 ,$0.07 
 Mtenda Herder,W, Mirage,C,$1.80 ,$0.19 ,$0.03 
 Mtenda Lion,G, Mirage,C,$4.99 ,$0.20 ,$0.05 
 Mystical Tutor,U, Mirage,U,$27.99 ,$18.99 ,$15.00 
 Natural Balance,2GG, Mirage,R,$16.49 ,$1.71 ,$0.50 
 Nettletooth Djinn,3G, Mirage,U,$1.87 ,$0.24 ,$0.07 
 Noble Elephant,3W, Mirage,C,$1.83 ,$0.20 ,$0.03 
 Nocturnal Raid,2BB, Mirage,U,$3.99 ,$0.24 ,$0.06 
 Null Chamber,3W, Mirage,R,$16.49 ,$1.41 ,$0.40 
 Pacifism,1W, Mirage,C,$1.82 ,$0.20 ,$0.05 
 Painful Memories,1B, Mirage,U,$1.99 ,$0.24 ,$0.06 
 Patagia Golem,4, Mirage,U,$1.83 ,$0.24 ,$0.05 
 Paupers' Cage,3, Mirage,R,$103.45 ,$1.16 ,$0.35 
 Pearl Dragon,4WW, Mirage,R,$4.99 ,$0.49 ,$0.14 
 Phyrexian Dreadnought,1, Mirage,R,$61.88 ,$44.93 ,$32.00 
 Phyrexian Purge,2BR, Mirage,R,$16.49 ,$5.00 ,$3.95 
 Phyrexian Tribute,2B, Mirage,R,$16.49 ,$1.50 ,$0.51 
 Phyrexian Vault,3, Mirage,U,$1.88 ,$0.25 ,$0.05 
 Plains,, Mirage,L,N/A,N/A,N/A
 Plains (Bird),, Mirage,L,$1.99 ,$0.50 ,$0.27 
 Plains (Buffalo),, Mirage,L,$1.99 ,$0.42 ,$0.25 
 Plains (Watering Hole),, Mirage,L,$1.99 ,$0.56 ,$0.30 
 Plains (Zebra),, Mirage,L,$1.99 ,$0.68 ,$0.40 
 Political Trickery,2U, Mirage,R,$16.49 ,$3.17 ,$1.93 
 Polymorph,3U, Mirage,R,$8.75 ,$1.19 ,$0.75 
 Power Sink,XU, Mirage,C,$1.84 ,$0.21 ,$0.05 
 Preferred Selection,2GG, Mirage,R,$11.33 ,$1.25 ,$0.34 
 Prismatic Boon,XWU, Mirage,U,$1.84 ,$0.24 ,$0.05 
 Prismatic Circle,2W, Mirage,C,$9.60 ,$0.19 ,$0.03 
 Prismatic Lace,U, Mirage,R,$16.49 ,$0.62 ,$0.25 
 Psychic Transfer,4U, Mirage,R,$4.99 ,$0.40 ,$0.10 
 Purgatory,2WB, Mirage,R,$16.49 ,$1.43 ,$0.48 
 Purraj of Urborg,3BB, Mirage,R,$16.49 ,$0.54 ,$0.24 
 Pyric Salamander,1R, Mirage,C,$1.80 ,$0.20 ,$0.02 
 Quirion Elves,1G, Mirage,C,$1.88 ,$0.24 ,$0.05 
 Radiant Essence,1GW, Mirage,U,$1.83 ,$0.24 ,$0.05 
 Raging Spirit,3R, Mirage,C,$1.80 ,$0.20 ,$0.03 
 Rampant Growth,1G, Mirage,C,$4.18 ,$0.89 ,$0.08 
 Rashida Scalebane,3WW, Mirage,R,$16.49 ,$0.60 ,$0.20 
 Ravenous Vampire,3BB, Mirage,U,$1.99 ,$0.25 ,$0.05 
 Ray of Command,3U, Mirage,C,$1.84 ,$0.20 ,$0.05 
 Razor Pendulum,4, Mirage,R,$16.49 ,$0.50 ,$0.24 
 Reality Ripple,1U, Mirage,C,$1.84 ,$0.22 ,$0.03 
 Reckless Embermage,3R, Mirage,R,$16.49 ,$0.43 ,$0.12 
 Reflect Damage,3RW, Mirage,R,$11.40 ,$1.09 ,$0.50 
 Regeneration,1G, Mirage,C,$1.82 ,$0.19 ,$0.05 
 Reign of Chaos,2RR, Mirage,U,$9.99 ,$0.25 ,$0.05 
 Reign of Terror,3BB, Mirage,U,$4.99 ,$0.25 ,$0.05 
 Reparations,1WU, Mirage,R,$350.00 ,$13.99 ,$10.40 
 Restless Dead,1B, Mirage,C,$1.83 ,$0.20 ,$0.05 
 Ritual of Steel,2W, Mirage,C,$1.79 ,$0.19 ,$0.02 
 Rock Basilisk,4RG, Mirage,R,$16.49 ,$0.50 ,$0.20 
 Rocky Tar Pit,, Mirage,U,$9.99 ,$0.53 ,$0.24 
 Roots of Life,1GG, Mirage,U,$9.99 ,$0.25 ,$0.10 
 Sabertooth Cobra,2G, Mirage,C,$5.00 ,$0.24 ,$0.06 
 Sacred Mesa,2W, Mirage,R,$16.49 ,$0.52 ,$0.14 
 Sand Golem,5, Mirage,U,$1.85 ,$0.24 ,$0.06 
 Sandbar Crocodile,4U, Mirage,C,$1.81 ,$0.19 ,$0.02 
 Sandstorm,G, Mirage,C,$1.81 ,$0.20 ,$0.03 
 Sapphire Charm,U, Mirage,C,$100.25 ,$0.23 ,$0.05 
 Savage Twister,XRG, Mirage,U,$1.86 ,$0.25 ,$0.08 
 Sawback Manticore,3RG, Mirage,R,$16.49 ,$0.49 ,$0.19 
 Sea Scryer,1U, Mirage,C,$2.99 ,$0.25 ,$0.09 
 Sealed Fate,XUB, Mirage,U,$2.50 ,$0.25 ,$0.07 
 Searing Spear Askari,2R, Mirage,C,$4.99 ,$0.20 ,$0.03 
 Seedling Charm,G, Mirage,C,$4.99 ,$0.24 ,$0.05 
 Seeds of Innocence,1GG, Mirage,R,$17.99 ,$3.26 ,$1.50 
 Serene Heart,1G, Mirage,C,$9.60 ,$0.33 ,$0.14 
 Sewer Rats,B, Mirage,C,$1.85 ,$0.22 ,$0.05 
 Shadow Guildmage,B, Mirage,C,$3.49 ,$0.19 ,$0.05 
 Shadowbane,1W, Mirage,U,$4.99 ,$0.24 ,$0.05 
 Shallow Grave,1B, Mirage,R,$25.00 ,$10.21 ,$7.50 
 Shaper Guildmage,U, Mirage,C,$3.99 ,$0.20 ,$0.03 
 Shauku's Minion,1BR, Mirage,U,$1.82 ,$0.24 ,$0.05 
" Shauku, Endbringer",5BB, Mirage,R,$16.49 ,$1.88 ,$0.47 
 Shimmer,2UU, Mirage,R,$16.49 ,$2.52 ,$0.53 
 Sidar Jabari,3W, Mirage,R,$10.65 ,$0.70 ,$0.32 
 Sirocco,1R, Mirage,U,$9.99 ,$0.25 ,$0.06 
 Skulking Ghost,1B, Mirage,C,$1.82 ,$0.20 ,$0.05 
 Sky Diamond,2, Mirage,U,$97.80 ,$2.00 ,$0.82 
 Soar,1U, Mirage,C,$1.79 ,$0.19 ,$0.02 
 Soul Echo,XWW, Mirage,R,$16.49 ,$0.84 ,$0.43 
 Soul Rend,1B, Mirage,U,$9.99 ,$0.25 ,$0.06 
 Soulshriek,B, Mirage,C,$1.82 ,$0.19 ,$0.03 
 Spatial Binding,UB, Mirage,U,$1.82 ,$0.24 ,$0.05 
 Spectral Guardian,2WW, Mirage,R,$16.49 ,$1.00 ,$0.28 
 Spirit of the Night,6BBB, Mirage,R,$39.99 ,$4.07 ,$2.17 
 Spitting Earth,1R, Mirage,C,$1.82 ,$0.19 ,$0.04 
 Stalking Tiger,3G, Mirage,C,$9.60 ,$0.20 ,$0.04 
 Stone Rain,2R, Mirage,C,$1.83 ,$0.21 ,$0.05 
 Stupor,2B, Mirage,U,$16.49 ,$0.34 ,$0.14 
 Subterranean Spirit,3RR, Mirage,R,$16.49 ,$0.50 ,$0.12 
 Sunweb,3W, Mirage,R,$4.99 ,$0.45 ,$0.14 
 Superior Numbers,GG, Mirage,U,$1.85 ,$0.24 ,$0.06 
 Suq'Ata Firewalker,1UU, Mirage,U,$16.49 ,$0.28 ,$0.12 
 Swamp (Eyes in Log),, Mirage,L,$2.99 ,$0.70 ,$0.30 
 Swamp (Foggy Night),, Mirage,L,$2.98 ,$1.49 ,$0.90 
 Swamp (Mossy Roots),, Mirage,L,$3.18 ,$0.74 ,$0.38 
 Swamp (Tall Grass),, Mirage,L,$1.99 ,$0.46 ,$0.30 
 Tainted Specter,3B, Mirage,R,$16.49 ,$0.62 ,$0.26 
 Talruum Minotaur,2RR, Mirage,C,$1.82 ,$0.19 ,$0.05 
 Taniwha,3UU, Mirage,R,$16.49 ,$1.25 ,$0.65 
 Teeka's Dragon,9, Mirage,R,$10.00 ,$2.24 ,$0.99 
 Teferi's Curse,1U, Mirage,C,$1.82 ,$0.20 ,$0.05 
 Teferi's Drake,2U, Mirage,C,$1.81 ,$0.19 ,$0.03 
 Teferi's Imp,2U, Mirage,R,$16.49 ,$0.72 ,$0.30 
 Teferi's Isle,, Mirage,R,$104.95 ,$3.99 ,$1.92 
 Telim'Tor,4R, Mirage,R,$5.00 ,$0.66 ,$0.25 
 Telim'Tor's Darts,2, Mirage,U,$1.82 ,$0.24 ,$0.04 
 Telim'Tor's Edict,R, Mirage,R,$16.49 ,$1.25 ,$0.60 
 Teremko Griffin,3W, Mirage,C,$1.82 ,$0.20 ,$0.05 
 Thirst,2U, Mirage,C,$1.80 ,$0.19 ,$0.03 
 Tidal Wave,2U, Mirage,U,$1.85 ,$0.25 ,$0.07 
 Tombstone Stairwell,2BB, Mirage,R,$100.94 ,$14.90 ,$11.99 
 Torrent of Lava,XRR, Mirage,R,$16.49 ,$0.61 ,$0.24 
 Tranquil Domain,1G, Mirage,C,$9.99 ,$0.20 ,$0.04 
 Tropical Storm,XG, Mirage,U,$4.99 ,$0.25 ,$0.06 
 Uktabi Faerie,1G, Mirage,C,$1.83 ,$0.20 ,$0.05 
 Uktabi Wildcats,4G, Mirage,R,$16.49 ,$0.47 ,$0.21 
 Unerring Sling,3, Mirage,U,$1.86 ,$0.25 ,$0.05 
 Unfulfilled Desires,1UB, Mirage,R,$16.49 ,$1.37 ,$0.38 
 Unseen Walker,1G, Mirage,U,$1.86 ,$0.24 ,$0.04 
 Unyaro Bee Sting,3G, Mirage,U,$1.82 ,$0.24 ,$0.05 
 Unyaro Griffin,3W, Mirage,U,$2.99 ,$0.24 ,$0.06 
 Urborg Panther,2B, Mirage,C,$1.82 ,$0.20 ,$0.04 
 Vaporous Djinn,2UU, Mirage,U,$1.86 ,$0.24 ,$0.06 
 Ventifact Bottle,3, Mirage,R,$10.00 ,$1.00 ,$0.20 
 Viashino Warrior,3R, Mirage,C,$1.80 ,$0.20 ,$0.03 
 Vigilant Martyr,W, Mirage,U,$4.99 ,$0.25 ,$0.10 
 Village Elder,G, Mirage,C,$1.82 ,$0.19 ,$0.04 
 Vitalizing Cascade,XGW, Mirage,U,$1.93 ,$0.27 ,$0.03 
 Volcanic Dragon,4RR, Mirage,R,$2.33 ,$0.50 ,$0.20 
 Volcanic Geyser,XRR, Mirage,U,$4.99 ,$0.25 ,$0.06 
 Waiting in the Weeds,1GG, Mirage,R,$16.49 ,$0.63 ,$0.24 
 Wall of Corpses,1B, Mirage,C,$1.82 ,$0.20 ,$0.05 
 Wall of Resistance,1W, Mirage,C,$2.99 ,$0.21 ,$0.07 
 Wall of Roots,1G, Mirage,C,$5.00 ,$0.34 ,$0.09 
 Ward of Lights,WW, Mirage,C,$1.85 ,$0.21 ,$0.05 
 Warping Wurm,2GU, Mirage,R,$16.49 ,$0.51 ,$0.19 
 Wave Elemental,2UU, Mirage,U,$1.85 ,$0.25 ,$0.05 
 Wellspring,1GW, Mirage,R,$16.49 ,$1.16 ,$0.45 
 Wild Elephant,3G, Mirage,C,$1.70 ,$0.20 ,$0.04 
 Wildfire Emissary,3R, Mirage,U,$6.99 ,$0.25 ,$0.07 
 Windreaper Falcon,1RG, Mirage,U,$4.99 ,$0.25 ,$0.05 
 Withering Boon,1B, Mirage,U,$49.99 ,$2.68 ,$0.75 
 Worldly Tutor,G, Mirage,U,$129.99 ,$37.95 ,$29.99 
 Yare,2W, Mirage,R,$16.49 ,$0.50 ,$0.25 
 Zebra Unicorn,2GW, Mirage,U,$2.50 ,$0.28 ,$0.05 
 Zhalfirin Commander,2W, Mirage,U,$4.99 ,$0.25 ,$0.06 
 Zhalfirin Knight,2W, Mirage,C,$1.82 ,$0.19 ,$0.05 
 Zirilan of the Claw,3RR, Mirage,R,$49.00 ,$4.83 ,$2.57 
 Zombie Mob,2BB, Mirage,U,$4.99 ,$0.25 ,$0.05 
" Zuberi, Golden Feather",4W, Mirage,R,$11.06 ,$1.32 ,$0.40 
