"Date","TSAscreenings"
"1/22/20",1645196
"1/23/20",2136584
"1/24/20",2004609
"1/25/20",1643435
"1/26/20",1777171
"1/27/20",2085468
"1/28/20",2159047
"1/29/20",1658886
"1/30/20",1948138
"1/31/20",2054725
"2/1/20",1677798
"2/2/20",1843877
"2/3/20",2167857
"2/4/20",2271551
"2/5/20",1770241
"2/6/20",2224826
"2/7/20",2164951
"2/8/20",1814047
"2/9/20",2038375
"2/10/20",2415185
"2/11/20",2507588
"2/12/20",1972248
"2/13/20",2198657
"2/14/20",2494922
"2/15/20",2190300
"2/16/20",2129862
"2/17/20",2358511
"2/18/20",2429489
"2/19/20",1951535
"2/20/20",2380359
"2/21/20",2267382
"2/22/20",1919803
"2/23/20",2075554
"2/24/20",2364727
"2/25/20",2441643
"2/26/20",1949696
"2/27/20",2353150
"2/28/20",2089641
"3/1/20",1736393
"3/2/20",1877401
"3/3/20",2130015
"3/4/20",2198517
"3/5/20",1844811
"3/6/20",2119867
"3/7/20",1909363
"3/8/20",1617220
"3/9/20",1702686
"3/10/20",1788456
"3/11/20",1714372
"3/12/20",1485553
"3/13/20",1519192
"3/14/20",1257823
"3/15/20",953699
"3/16/20",779631
"3/17/20",620883
"3/18/20",593167
"3/19/20",548132
"3/20/20",454516
"3/21/20",331431
"3/22/20",279018
"3/23/20",239234
"3/24/20",203858
"3/25/20",199644
"3/26/20",184027
"3/27/20",180002
"3/28/20",154080
"3/29/20",146348
"3/30/20",136023
"3/31/20",124021
"4/1/20",129763
"4/2/20",118302
"4/3/20",122029
"4/4/20",108310
"4/5/20",97130
"4/6/20",94931
"4/7/20",104090
"4/8/20",108977
"4/9/20",93645
"4/10/20",90510
"4/11/20",102184
"4/12/20",87534
"4/13/20",90784
"4/14/20",95085
"4/15/20",106385
"4/16/20",97236
"4/17/20",105382
"4/18/20",99344
"4/19/20",92859
"4/20/20",98968
"4/21/20",111627
"4/22/20",123464
"4/23/20",114459
"4/24/20",128875
"4/25/20",119854
"4/26/20",110913
"4/27/20",119629
"4/28/20",154695
"4/29/20",171563
"4/30/20",134261
