"tmpID","PartiesDescription","ReligionsDescription","LikelyUnionMember","GunOwner","Veteran","supportsAffordableCareAct","supportsGayMarriage","supportsGunControl","supportsTaxesRaise","overallsocialviews","DonatestoConservativeCauses","DonatestoLiberalCauses"
3987,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
4459,"Democratic","","","Unknown","Unknown","","","","","","",""
3378,"Republican","","","Unknown","Unknown","","","","","","",""
14091,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
644,"Democratic","Protestant","","Unknown","Unknown","","","","","","Yes",""
9522,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
3950,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
14441,"Democratic","","","Unknown","Unknown","","","","","","",""
10282,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
12409,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
13447,"Republican","","","Unknown","Unknown","","","","","","",""
9973,"Republican","","","Unknown","Unknown","","","","","","",""
13016,"Republican","Jewish","","Unknown","Unknown","","","","","","",""
6934,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
2375,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
6186,"Democratic","","","Yes","Unknown","","","","","","",""
13554,"Democratic","Christian","","Unknown","Unknown","","","","","","",""
9442,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1260,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4473,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
14417,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
12135,"Democratic","","","Unknown","Unknown","","","","","","",""
6357,"Democratic","","","Yes","Unknown","","","","","","",""
792,"Democratic","","","Yes","Unknown","","","","","","",""
5138,"Democratic","","","Unknown","Unknown","","","","","","",""
12858,"Democratic","","","Unknown","Unknown","","","","","","",""
8907,"Democratic","Catholic","Yes","Unknown","Unknown","","","","","","",""
341,"Republican","Protestant","","Yes","Unknown","","Oppose","","Oppose","Conservative","",""
9502,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
11785,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
9613,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2157,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4454,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4890,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
9264,"Democratic","Jewish","Yes","Unknown","Unknown","","","","","","",""
1863,"Democratic","","","Unknown","Unknown","","","","","","",""
14650,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
8109,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
6867,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
10735,"Democratic","","","Unknown","Unknown","","","","","","",""
9154,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
9828,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
12016,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
1857,"Democratic","Eastern Orthodox","","Unknown","Unknown","","","","","","",""
13008,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
7768,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
4423,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
1312,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
14292,"Republican","","","Unknown","Unknown","","","","","","",""
14842,"Republican","Protestant","","Yes","Yes","","","","","","",""
5261,"Republican","Catholic","Yes","Unknown","Unknown","","","","","","",""
713,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
8874,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
2003,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5007,"Republican","Catholic","","Unknown","Unknown","","","","","","Yes",""
6912,"Republican","","","Unknown","Unknown","","","","","","",""
12934,"Democratic","","","Unknown","Unknown","","","","","","",""
5211,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
9556,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
11690,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
11790,"Democratic","","","Unknown","Unknown","","","","","","",""
11298,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
8506,"Democratic","","","Unknown","Unknown","","","","","","",""
1407,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
8354,"Republican","Catholic","","Yes","Yes","","","","","","",""
7117,"Democratic","Christian","","Unknown","Unknown","","","","","","",""
6385,"Democratic","","","Unknown","Yes","","","","","","",""
3261,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
10847,"Democratic","","","Yes","Unknown","","","","","","",""
14588,"Democratic","","","Unknown","Unknown","","","","","","",""
7470,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1198,"Democratic","","","Unknown","Unknown","","","","","","",""
10155,"Republican","","","Unknown","Unknown","","","","","","",""
5559,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3956,"Democratic","Catholic","","Unknown","Unknown","Oppose","","","","","",""
13761,"Republican","Catholic","","Yes","Unknown","","","","","","",""
780,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
405,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
12036,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
10505,"Non-Partisan","Catholic","Yes","Unknown","Unknown","","","","","","",""
6614,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
4051,"Republican","Jewish","","Unknown","Yes","","","","","","",""
4794,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
8160,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
13367,"Democratic","","","Unknown","Unknown","","","","","","",""
11035,"Republican","Protestant","Yes","Yes","Unknown","","","","","","",""
10066,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
6236,"Republican","","","Unknown","Unknown","","","","","","",""
4714,"Democratic","","","Unknown","Unknown","","","","","","",""
6581,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
10197,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
12703,"Non-Partisan","Protestant","","Yes","Unknown","","","","","","",""
14326,"Non-Partisan","Catholic","Yes","Unknown","Unknown","","","","","","",""
14165,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
9233,"Republican","Protestant","","Yes","Unknown","","","","","","",""
3279,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
7908,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
13675,"Republican","","","Unknown","Unknown","","","","","","",""
1347,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
4651,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
9557,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
3128,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
10328,"Democratic","Protestant","","Yes","Yes","","","","","","",""
5845,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
8598,"Republican","","","Unknown","Unknown","","","","","","",""
2824,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
797,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4558,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
11079,"Democratic","","Yes","Unknown","Unknown","","","","","","",""
636,"Republican","","","Yes","Unknown","","","","","","",""
424,"Republican","Protestant","","Yes","Unknown","","","","","","",""
1762,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
13886,"Republican","","","Yes","Unknown","","","","","","",""
1222,"Republican","","","Unknown","Unknown","","","","","","",""
9727,"Democratic","","","Unknown","Unknown","","","","","","",""
6161,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
7,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
11610,"Non-Partisan","Protestant","Yes","Unknown","Unknown","","","","","","",""
12259,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
12107,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
6960,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
2110,"Republican","","","Unknown","Unknown","","","","","","",""
1258,"Democratic","Protestant","","Yes","Yes","","","","","","",""
6166,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
12679,"Republican","Protestant","","Yes","Unknown","","","","","","",""
5049,"Republican","","","Unknown","Unknown","","","","","","",""
12312,"Democratic","","","Unknown","Unknown","","","","","","",""
14249,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
14940,"Republican","","","Unknown","Unknown","","","","","","",""
12063,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
12631,"Democratic","Jewish","","Yes","Yes","","","","","","",""
9255,"Republican","Protestant","","Unknown","Yes","","","","","","",""
13063,"Republican","","Yes","Unknown","Unknown","","","","","","",""
2413,"Republican","","","Unknown","Unknown","","","","","","",""
12498,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
7337,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
853,"Republican","","","Unknown","Unknown","","","","","","",""
10369,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
12423,"Republican","","","Yes","Unknown","","","","","","",""
6455,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
10632,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
12322,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
7003,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
12250,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
5720,"Republican","Protestant","","Yes","Unknown","","","","","","",""
4131,"Democratic","Protestant","","Unknown","Yes","","","","","","",""
10310,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
7063,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
7647,"Democratic","Protestant","Yes","Yes","Unknown","","","","","","",""
10007,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
11384,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
6837,"Democratic","","","Yes","Unknown","","","","","","",""
6087,"Democratic","Protestant","","Yes","Yes","","","","","","",""
10173,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4277,"Republican","","","Unknown","Unknown","","","","","","",""
10107,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
75,"Democratic","","","Unknown","Unknown","","","","","","",""
2747,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
9581,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
6590,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
8110,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
4430,"Republican","","","Unknown","Unknown","","","","","","",""
11748,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
14464,"Republican","Protestant","","Yes","Unknown","","","","","","",""
5486,"Republican","","","Unknown","Yes","","","","","","",""
8890,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
11431,"Republican","","","Yes","Unknown","","","","","","",""
13414,"Republican","Jewish","Yes","Yes","Unknown","","","","","","",""
5414,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
6660,"Republican","","","Unknown","Unknown","","","","","","",""
11734,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
14241,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
10610,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
8852,"Republican","","","Unknown","Unknown","","","","","","",""
8611,"Democratic","Catholic","","Yes","Unknown","","","","","","",""
1605,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4962,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
6538,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
4322,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
10399,"Republican","Catholic","","Yes","Unknown","","","","","","",""
9751,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
10182,"Democratic","","","Unknown","Unknown","","","","","","",""
5690,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
675,"Democratic","","","Yes","Unknown","","","","","","",""
4348,"Democratic","","Yes","Yes","Unknown","","","","","","",""
11594,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
6851,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
7785,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4860,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
1775,"Democratic","Jewish","","Yes","Unknown","","","","","","",""
12580,"Democratic","","","Unknown","Unknown","","","","","","",""
8442,"Democratic","","","Unknown","Unknown","","","","","","",""
9889,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
9568,"Democratic","","","Unknown","Unknown","","","","","","",""
11909,"Democratic","Catholic","","Yes","Unknown","","","","","","",""
7846,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
11003,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
6840,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
6698,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
13589,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
4106,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
4364,"Republican","","","Unknown","Unknown","","","","","","",""
12232,"Democratic","Catholic","","Yes","Unknown","","","","","","",""
3018,"Democratic","","","Yes","Unknown","","","","","","",""
4985,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
1756,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
14334,"Democratic","","","Unknown","Unknown","","","","","","",""
4915,"Democratic","","","Unknown","Unknown","","","","","","",""
5375,"Republican","Catholic","","Yes","Yes","","","","","","",""
8637,"Republican","Protestant","","Yes","Unknown","","","","","","",""
3115,"Democratic","Protestant","","Unknown","Yes","","","","","","",""
5810,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
541,"Democratic","","","Unknown","Unknown","","","","","","",""
6213,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
1232,"Democratic","","","Unknown","Unknown","","","","","","",""
9412,"Democratic","","","Unknown","Unknown","","","","","","",""
7338,"Democratic","Buddhist","","Unknown","Unknown","","","","","","",""
14926,"Republican","Jewish","Yes","Yes","Unknown","","","","","","",""
2863,"Republican","Protestant","","Yes","Unknown","","","","","","",""
3564,"Democratic","","","Unknown","Unknown","","","","","","",""
6871,"Republican","","","Yes","Unknown","","","","","","",""
14053,"Democratic","","","Yes","Unknown","","","","","","",""
6479,"Non-Partisan","","","Unknown","Unknown","","","","","","",""
12490,"Non-Partisan","Protestant","","Yes","Unknown","","","","","","",""
14725,"Democratic","","","Unknown","Unknown","","","","","","",""
2720,"Democratic","","","Yes","Unknown","","","","","","",""
10321,"Republican","Jewish","Yes","Unknown","Unknown","","","","","","",""
9849,"Democratic","","","Unknown","Unknown","","","","","","",""
11976,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3972,"Democratic","","","Unknown","Unknown","","","","","","",""
13504,"Non-Partisan","","","Yes","Unknown","","","","","","",""
7774,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
14738,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
13276,"Democratic","","","Yes","Unknown","","","","","","",""
13658,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
13525,"Republican","","","Unknown","Yes","","","","","","",""
12863,"Democratic","","","Unknown","Unknown","","","","","","",""
13043,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
11210,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
3640,"Republican","Catholic","","Yes","Unknown","","","","","","",""
1306,"Democratic","Protestant","","Unknown","Unknown","","Support","","Oppose","","",""
6212,"Democratic","","","Unknown","Unknown","","","","","","",""
13537,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
10076,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
12460,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4688,"Democratic","Catholic","","Yes","Unknown","","","","","","",""
13040,"Democratic","Protestant","","Unknown","Yes","","","","","","",""
1162,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
14696,"Non-Partisan","Catholic","","Unknown","Unknown","","","","","","",""
420,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
12254,"Democratic","","","Unknown","Unknown","","","","","","",""
5012,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3594,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
8624,"Democratic","","","Unknown","Unknown","","","","","","",""
4475,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
7033,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
7016,"Republican","Protestant","","Yes","Unknown","","","","","","",""
943,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
11718,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2247,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
4053,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5456,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
6426,"Democratic","","","Yes","Unknown","","","","","","",""
3418,"Republican","","","Yes","Unknown","","","","","","",""
13922,"Democratic","","","Unknown","Unknown","","","","","","",""
7090,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
1548,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
8851,"Republican","Protestant","","Yes","Unknown","","","","","","",""
14192,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
12424,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
13362,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
2486,"Democratic","Catholic","","Yes","Unknown","","","","","Liberal","",""
11335,"Republican","","","Unknown","Unknown","","","","","","",""
13509,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
588,"Non-Partisan","Protestant","","Yes","Unknown","","","","","","",""
10296,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
8071,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
11541,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
13244,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
3259,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
12941,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
6199,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3030,"Democratic","","","Unknown","Unknown","","","","","","",""
4796,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
899,"Democratic","","","Yes","Yes","","","","","","",""
8865,"Democratic","","","Yes","Unknown","","","","","","",""
8970,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
6152,"Democratic","","","Unknown","Yes","","","","","","",""
6870,"Republican","","","Unknown","Unknown","","","","","","",""
2690,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
10720,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
6164,"Republican","Jewish","","Unknown","Unknown","","","","","","",""
14312,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
1323,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
11811,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
13883,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
129,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
4940,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
10645,"Republican","","Yes","Unknown","Unknown","","","","","","",""
10346,"Republican","","","Unknown","Unknown","","","","","","",""
1259,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
6737,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
5054,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
11342,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
9424,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
7985,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
787,"Democratic","Hindu","","Unknown","Unknown","","","","","","",""
2276,"Democratic","","","Unknown","Unknown","","","","","","",""
3439,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
12483,"Republican","Protestant","","Yes","Unknown","","","","","","",""
13972,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
9832,"Republican","Protestant","","Yes","Unknown","","","","","","",""
5694,"Republican","Protestant","","Unknown","Unknown","","","","","","Yes",""
946,"Democratic","Catholic","","Yes","Unknown","","","","","","",""
8496,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
9182,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3651,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
13104,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2840,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
14376,"Republican","Protestant","","Unknown","Unknown","","","","","","","Yes"
8001,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
12677,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
11018,"Democratic","","","Yes","Yes","","","","","","",""
13071,"Republican","","Yes","Unknown","Unknown","","","","","","",""
13901,"Republican","Protestant","","Yes","Unknown","","","","","","",""
4608,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
225,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
5745,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
13773,"Republican","Jewish","","Unknown","Unknown","","","","","","",""
10081,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
886,"Republican","","","Yes","Unknown","","","","","","",""
14,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
820,"Republican","Buddhist","","Unknown","Unknown","","","","","","",""
3189,"Non-Partisan","","","Unknown","Unknown","","","","","","",""
5887,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
1200,"Democratic","Protestant","Yes","Yes","Yes","","","","","","",""
5401,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
5389,"Republican","","Yes","Unknown","Unknown","","","","","","",""
11417,"Non-Partisan","Hindu","","Unknown","Unknown","","","","","","",""
9130,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
14834,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
14811,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
6305,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
6535,"Democratic","","","Unknown","Unknown","","","","","","",""
14377,"Democratic","Protestant","","Unknown","Yes","","","","","","",""
5176,"Republican","","","Unknown","Unknown","","","","","","",""
6342,"Republican","Protestant","","Yes","Unknown","","","","","","",""
11289,"Democratic","","","Yes","Unknown","","","","","","","Yes"
1779,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
6490,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3318,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
9404,"Democratic","","","Unknown","Unknown","","","","","","",""
11617,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1697,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
8376,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
7218,"Republican","","","Unknown","Unknown","","","","","","",""
12433,"Democratic","","","Yes","Unknown","","","","","","",""
12929,"Democratic","","","Yes","Unknown","","","","","","",""
7143,"Republican","","","Unknown","Unknown","","","","","","",""
7427,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2836,"Democratic","Protestant","","Yes","Yes","","","","","","",""
3339,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
8898,"Democratic","","Yes","Yes","Unknown","","","","","","",""
7130,"Democratic","","","Unknown","Unknown","","","","","","",""
2948,"Democratic","","","Unknown","Unknown","","","","","","",""
14384,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
881,"Republican","","","Yes","Unknown","","","","","","",""
633,"Republican","","","Unknown","Unknown","","","","","","",""
10709,"Democratic","","","Unknown","Unknown","","","","","","",""
2947,"Republican","","","Unknown","Unknown","","","","","","",""
4303,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
12026,"Republican","","Yes","Unknown","Unknown","","","","","","",""
4425,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
7631,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
14274,"Democratic","Jewish","","Yes","Unknown","","","","","","",""
468,"Democratic","","","Yes","Unknown","","","","","","",""
6936,"Republican","","","Unknown","Unknown","","","","","","",""
8844,"Democratic","Catholic","","Yes","Yes","","","","","","",""
4422,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
11479,"Democratic","","","Unknown","Unknown","","","","","","",""
11800,"Democratic","Buddhist","Yes","Unknown","Unknown","","","","","","",""
340,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1242,"Republican","Protestant","","Yes","Unknown","","","","","","",""
11486,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
10513,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
