"mlsNum","ADDRESS","CITY","STATE","ZIP","LAT","LON","PROPERTY.TYPE","BEDS","BATHS","Community","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","HOA.MONTH","URL","SOURCE","monthPayment","style","pricePerSqFt","redfinEst","PRICE"
73054352,"90 Bay Shore Rd","Barnstable","MA","02601",41.6457167,-70.2771759,"Single Family Residential",6,2,"Hyannis",2328,9583,1930,4,NA,"https://www.redfin.com/MA/Hyannis/90-Bay-Shore-Rd-02601/home/77380346","MLS PIN",22118,"Cape",1587.19931271478,3677636,3695000
73054329,"165 Mayflower Ter","Yarmouth","MA","02664",41.696235,-70.1725737,"Single Family Residential",3,2,"Yarmouth",1609,42614,1963,4,NA,"https://www.redfin.com/MA/South-Yarmouth/165-Mayflower-Ter-02664/home/135816996","MLS PIN",8146,"Ranch",835.922933499068,1354952,1345000
73054269,"6 Hilltop Dr","Bourne","MA","02563",41.7431361,-70.5030694,"Single Family Residential",3,1.5,"Bourne",1304,20996,1972,4,NA,"https://www.redfin.com/MA/Sandwich/6-HILLTOP-Dr-02563/home/134907100","MLS PIN",2886,"Ranch",351.993865030675,459716,459000
73054222,"56 Windjammer Ln","Yarmouth","MA","02664",41.6789735,-70.2121143,"Single Family Residential",1,2,"South Yarmouth",1152,10454,2005,5,NA,"https://www.redfin.com/MA/South-Yarmouth/56-Windjammer-Ln-02664/home/135696171","MLS PIN",2902,"Ranch",403.645833333333,473897,465000
22205774,"6 Sturbridge Dr","Orleans","MA","02653",41.7550446,-69.9830191,"Single Family Residential",3,2.5,"South Orleans",2400,22216,1975,5,NA,"https://www.redfin.com/MA/Orleans/6-Sturbridge-Dr-02653/home/133925171","CCIMLS",5209,"Cape",353.75,857224,849000
73054147,"963 Commercial #27","Provincetown","MA","02657",42.0621888,-70.148069,"Condo/Co-op",2,1,"Provincetown",480,3,1950,5,325,"https://www.redfin.com/MA/Provincetown/963-Commercial-St-02657/unit-27/home/134686140","MLS PIN",3355,"1950",1039.58333333333,499410,499000
22205773,"1 Lily Ln","Truro","MA","02666",42.010096,-70.070787,"Single Family Residential",4,3,"Truro",2545,44431,2022,5,40,"https://www.redfin.com/MA/Truro/1-Lily-Ln-02536/home/77396802","CCIMLS",10424,"2022",705.304518664047,1800979,1795000
73054085,"56 Soundview Ave","Chatham","MA","02633",41.6781077,-70.0093052,"Single Family Residential",2,1,"Chatham",1728,5798,1973,5,NA,"https://www.redfin.com/MA/Chatham/56-Soundview-Ave-02633/home/131349932","MLS PIN",5865,"Cape",578.125,1008334,999000
73054072,"95 Third Ave","Barnstable","MA","02630",41.636697,-70.318609,"Single Family Residential",5,4.5,"West Hyannisport",3436,16117,2005,5,NA,"https://www.redfin.com/MA/Barnstable/95-Third-AVE-02630/home/182575649","MLS PIN",12051,"Shingle",580.616996507567,2000739,1995000
73054031,"28 Saturn Ln","Yarmouth","MA","02664",41.6628019,-70.2073704,"Single Family Residential",4,2,"Yarmouth",1224,16988,1965,5,NA,"https://www.redfin.com/MA/South-Yarmouth/28-Saturn-Ln-02664/home/135839483","MLS PIN",3125,"Cape",415.849673202614,527252,509000
73054021,"47 Farm Valley Rd","Barnstable","MA","02655",41.6426846,-70.3951422,"Single Family Residential",3,3.5,"Farm Valley",3815,53472,1996,5,NA,"https://www.redfin.com/MA/Osterville/47-Farm-Valley-Rd-02655/home/110968484","MLS PIN",12393,"Contemporary",517.693315858454,1965844,1975000
73053974,"31 Warwick Way","Mashpee","MA","02649",41.6608378,-70.471851,"Single Family Residential",3,3,"Mashpee",2040,12502,1986,5,NA,"https://www.redfin.com/MA/Mashpee/31-Warwick-Way-02649/home/133657470","MLS PIN",3316,"Ranch",267.647058823529,547320,546000
22205762,"45 Mockingbird Ln","Marstons Mills","MA","02648",41.6698591,-70.4504666,"Single Family Residential",4,2,"Barnstable",NA,20038,1985,5,NA,"https://www.redfin.com/MA/Marstons-Mills/45-Mockingbird-Ln-02648/home/111083796","CCIMLS",2811,"Cape",NA,455086,449000
22205761,"1367 Hyannis-barnstable Rd","Barnstable","MA","02630",41.6892242,-70.3045191,"Single Family Residential",3,1.5,"Barnstable",1018,25700,1952,5,NA,"https://www.redfin.com/MA/Barnstable/1367-Hyannis-Barnstable-Rd-02630/home/111019076","CCIMLS",3579,"Ranch",569.744597249509,580896,580000
73053922,"141 Main St #18","Dennis","MA","02670",41.6718991,-70.1562553,"Condo/Co-op",1,1,"Dennis",468,NA,1964,5,294,"https://www.redfin.com/MA/West-Dennis/141-Main-St-02670/unit-18/home/146437173","MLS PIN",1987,"1964",617.521367521368,289853,289000
73053917,"141 Main St #17","Dennis","MA","02670",41.6718991,-70.1562553,"Condo/Co-op",1,1,"West Dennis",312,NA,1964,5,196,"https://www.redfin.com/MA/West-Dennis/141-Main-St-02670/unit-17/home/147378529","MLS PIN",1623,"1964",785.25641025641,243393,245000
73053805,"9 Village Grn","Harwich","MA","02646",41.6697643,-70.0811795,"Single Family Residential",3,2,"Harwich",1623,10000,1950,5,NA,"https://www.redfin.com/MA/Harwich-Port/9-Village-Grn-02646/home/132998931","MLS PIN",6041,"Ranch",614.294516327788,1001389,997000
