date,TSA_screenings,,
2/2/20,"1,843,877",,
2/3/20,"2,167,857",,
2/4/20,"2,271,551",,
2/5/20,"1,770,241",,
2/6/20,"2,224,826",,
2/7/20,"2,164,951",,
2/8/20,"1,814,047",,
2/9/20,"2,038,375",,
2/10/20,"2,415,185",,
2/11/20,"2,507,588",,
2/12/20,"1,972,248",,
2/13/20,"2,198,657",,
2/14/20,"2,494,922",,
2/15/20,"2,190,300",,
2/16/20,"2,129,862",,
2/17/20,"2,358,511",,
2/18/20,"2,429,489",,
2/19/20,"1,951,535",,
2/20/20,"2,380,359",,
2/21/20,"2,267,382",,
2/22/20,"1,919,803",,
2/23/20,"2,075,554",,
2/24/20,"2,364,727",,
2/25/20,"2,441,643",,
2/26/20,"1,949,696",,
2/27/20,"2,353,150",,
2/28/20,"2,089,641",,
3/1/20,"1,736,393",,
3/2/20,"1,877,401",,
3/3/20,"2,130,015",,
3/4/20,"2,198,517",,
3/5/20,"1,844,811",,
3/6/20,"2,119,867",,
3/7/20,"1,909,363",,
3/8/20,"1,617,220",,
3/9/20,"1,702,686",,
3/10/20,"1,788,456",,
3/11/20,"1,714,372",,
3/12/20,"1,485,553",,
3/13/20,"1,519,192",,
3/14/20,"1,257,823",,
3/15/20,"953,699",,
3/16/20,"779,631",,
3/17/20,"620,883",,
3/18/20,"593,167",,
3/19/20,"548,132",,
3/20/20,"454,516",,
3/21/20,"331,431",,
3/22/20,"279,018",,
3/23/20,"239,234",,
3/24/20,"203,858",,
3/25/20,"199,644",,
3/26/20,"184,027",,
3/27/20,"180,002",,
3/28/20,"154,080",,
3/29/20,"146,348",,
3/30/20,"136,023",,
3/31/20,"124,021",,
4/1/20,"129,763",,
4/2/20,"118,302",,
4/3/20,"122,029",,
4/4/20,"108,310",,
4/5/20,"97,130",,
4/6/20,"94,931",,
4/7/20,"104,090",,
4/8/20,"108,977",,
4/9/20,"93,645",,
4/10/20,"90,510",,
4/11/20,"102,184",,
4/12/20,"87,534",,
4/13/20,"90,784",,
4/14/20,"95,085",,
4/15/20,"106,385",,
4/16/20,"97,236",,
4/17/20,"105,382",,
4/18/20,"99,344",,
4/19/20,"92,859",,
4/20/20,"98,968",,
4/21/20,"111,627",,
4/22/20,"123,464",,
4/23/20,"114,459",,
4/24/20,"128,875",,
4/25/20,"119,854",,
4/26/20,"110,913",,
4/27/20,"119,629",,
4/28/20,"154,695",,
4/29/20,"171,563",,
4/30/20,"134,261",,
5/1/20,"170,254",,
5/2/20,"163,692",,
5/3/20,"130,601",,
5/4/20,"140,409",,
5/5/20,"190,863",,
5/6/20,"215,444",,
5/7/20,"169,580",,
5/8/20,"200,815",,
5/9/20,"215,645",,
5/10/20,"163,205",,
5/11/20,"176,667",,
5/12/20,"234,928",,
5/13/20,"250,467",,
5/14/20,"193,340",,
5/15/20,"253,807",,
5/16/20,"244,176",,
5/17/20,"190,477",,
5/18/20,"230,367",,
5/19/20,"318,449",,
5/20/20,"348,673",,
5/21/20,"253,190",,
5/22/20,"267,451",,
5/23/20,"340,769",,
5/24/20,"264,843",,
5/25/20,"261,170",,
5/26/20,"321,776",,
5/27/20,"327,133",,
5/28/20,"268,867",,
5/29/20,"352,947",,
5/30/20,"353,261",,
5/31/20,"267,742",,
6/1/20,"304,436",,
6/2/20,"391,882",,
6/3/20,"419,675",,
6/4/20,"353,016",,
6/5/20,"441,255",,
6/6/20,"430,414",,
6/7/20,"338,382",,
6/8/20,"386,969",,
6/9/20,"502,209",,
6/10/20,"519,304",,
6/11/20,"437,119",,
6/12/20,"544,046",,
6/13/20,"534,528",,
6/14/20,"417,924",,
6/15/20,"441,829",,
6/16/20,"576,514",,
6/17/20,"587,908",,
6/18/20,"507,129",,
6/19/20,"590,456",,
6/20/20,"607,540",,
6/21/20,"471,421",,
6/22/20,"494,826",,
6/23/20,"623,624",,
6/24/20,"632,984",,
6/25/20,"546,310",,
6/26/20,"633,810",,
6/27/20,"625,235",,
6/28/20,"500,054",,
6/29/20,"626,516",,
6/30/20,"764,761",,
7/1/20,"718,988",,
7/2/20,"466,669",,
7/3/20,"732,123",,
7/4/20,"755,555",,
7/5/20,"641,761",,
7/6/20,"632,498",,
7/7/20,"709,653",,
7/8/20,"711,124",,
7/9/20,"656,284",,
7/10/20,"754,545",,
7/11/20,"697,985",,
7/12/20,"540,268",,
7/13/20,"589,285",,
7/14/20,"706,164",,
7/15/20,"720,378",,
7/16/20,"646,654",,
7/17/20,"747,422",,
7/18/20,"695,330",,
7/19/20,"530,421",,
7/20/20,"570,951",,
7/21/20,"704,815",,
7/22/20,"724,770",,
7/23/20,"649,027",,
7/24/20,"751,205",,
7/25/20,"700,043",,
7/26/20,"536,756",,
7/27/20,"573,200",,
7/28/20,"718,310",,
7/29/20,"767,320",,
7/30/20,"709,033",,
7/31/20,"799,861",,
8/1/20,"737,235",,
8/2/20,"543,601",,
8/3/20,"595,739",,
8/4/20,"743,599",,
8/5/20,"762,547",,
8/6/20,"683,212",,
8/7/20,"831,789",,
8/8/20,"761,861",,
8/9/20,"559,420",,
8/10/20,"590,749",,
8/11/20,"761,821",,
8/12/20,"783,744",,
8/13/20,"689,895",,
8/14/20,"862,949",,
8/15/20,"773,319",,
8/16/20,"565,946",,
8/17/20,"586,718",,
8/18/20,"772,380",,
8/19/20,"764,468",,
8/20/20,"625,822",,
8/21/20,"841,806",,
8/22/20,"726,788",,
8/23/20,"523,186",,
8/24/20,"540,043",,
8/25/20,"721,060",,
8/26/20,"738,873",,
8/27/20,"591,734",,
8/28/20,"807,695",,
8/29/20,"711,178",,
8/30/20,"516,068",,
8/31/20,"578,131",,
9/1/20,"877,698",,
9/2/20,"968,673",,
9/3/20,"664,640",,
9/4/20,"689,630",,
9/5/20,"935,308",,
9/6/20,"704,075",,
9/7/20,"616,923",,
9/8/20,"755,051",,
9/9/20,"731,353",,
9/10/20,"613,703",,
9/11/20,"809,850",,
9/12/20,"729,558",,
9/13/20,"522,383",,
9/14/20,"577,847",,
9/15/20,"784,746",,
9/16/20,"812,214",,
9/17/20,"638,575",,
9/18/20,"847,968",,
9/19/20,"769,936",,
9/20/20,"549,741",,
9/21/20,"608,726",,
9/22/20,"826,316",,
9/23/20,"826,329",,
9/24/20,"659,350",,
