"Category..Tab.Name.","State","Code","Location","Zip","Sq..Feet","Year.Opened","Type","Full.Description.of.Operation","cleanZip","country","zip","city","state","stateAbb","county","lat","lon","ZIP","COUNTYNAME","STATE","STCOUNTYFP","CLASSFP","dupeLocation","retailer"
"US FC/DC Network","California","LGB3","4950 Goodman Way, Building 1, Eastvale, California, USA, 91752- 5087","91752","1007700","Mar-2018","Small Sortable","Small Sortable ",91752,"US",91752,"Mira Loma","California","CA","Riverside",33.9938,-117.5236,91752,"San Bernardino County","location_ CA",6071,"H1",TRUE,"amzn"
"US FC/DC Network","California","LGB6","20901 Krameria Avenue, Riverside. California, USA, 92508","92508","1000000","Aug-2017","Large Non-Sortable","Large Non-Sortable",92508,"US",92508,"Riverside","California","CA","Riverside",33.8897,-117.3043,92508,"Riverside County","location_ CA",6065,"H1",FALSE,"amzn"
"US FC/DC Network","California","LGB7","1660 N. Locust Ave, Rialto, California, USA, 92376","92376","850000","Jul-2019","Small Sortable","Small Sortable books, small electronics, school supplies and home goods",92376,"US",92376,"Rialto","California","CA","San Bernardino",34.1132,-117.3771,92376,"San Bernardino County","location_ CA",6071,"H1",FALSE,"amzn"
"US FC/DC Network","California","SNA7 / SNA8 / LGB5 / KRB1","555 East Orange St., Gateway South Building 3, San Bernardino, California, USA, 92408-2453","92408","1102600","Mar-2016","Amazon Robotics Large Sortable","Amazon Robotics Large Sortable",92408,"US",92408,"San Bernardino","California","CA","San Bernardino",34.0831,-117.2711,92408,"San Bernardino County","location_ CA",6071,"H1",FALSE,"amzn"
"US FC/DC Network","California","SMF1","4900 W Elkhorn Blvd, Metro Air Park, Sacramento, California, USA, 95835-9505","95835","855000","Oct-2017","Small Sortable","",95835,"US",95835,"Sacramento","California","CA","Sacramento",38.6626,-121.4834,95835,"Sacramento County","location_ CA",6067,"H1",FALSE,"amzn"
"US FC/DC Network","California","SMF3","4723 S. B Street, Stockton, California, USA 95206-8201","95206","600000","Sep-2018","Small Sortable","Small Sortable. 1,000 associates",95206,"US",95206,"Stockton","California","CA","San Joaquin",37.9177,-121.3123,95206,"San Joaquin County","location_ CA",6077,"H1",FALSE,"amzn"
"US FC/DC Network","California","SCK1","4611 Newcastle Road, Stockton, California, USA 95215-9446","95215","1122300","2020","Large Non-Sortable","Large Non-Sortable ",95215,"US",95215,"Stockton","California","CA","San Joaquin",37.9551,-121.2041,95215,"San Joaquin County","location_ CA",6077,"H1",FALSE,"amzn"
"US FC/DC Network","California","OAK3","255 Park Center Drive, Patterson, California, USA, 95363-8876","95363","1000000","Oct-2013","Large Non-Sortable","Large Non-Sortable. 1600 people",95363,"US",95363,"Patterson","California","CA","Stanislaus",37.4826,-121.1648,95363,"Stanislaus County","location_ CA",6099,"H1",FALSE,"amzn"
"US FC/DC Network","California","OAK4 / OAK6","1555 N. Chrisman Rd., Tracy. California, USA, 95304-9370","95304","1200000","Oct-2013","Small Sortable, Grocery","OAK4 is a Small Sortable FC. OAK6 is Amazon Fresh. 3,500 people",95304,"US",95304,"Tracy","California","CA","San Joaquin",37.7319,-121.4096,95304,"San Joaquin County","location_ CA",6077,"H1",FALSE,"amzn"
"US FC/DC Network","California","SJC7","188 Mountain House Parkway, Tracy, California, USA, 95377- 8906","95377","1001400","Oct-2016","Large Non-Sortable","Large Non-Sortable. Ships larger products such as barbecues and appliances.",95377,"US",95377,"Tracy","California","CA","San Joaquin",37.6567,-121.4955,95377,"Alameda County","location_ CA",6001,"H1",FALSE,"amzn"
"US FC/DC Network","California","SJC7","188 Mountain House Parkway, Tracy, California, USA, 95377- 8906","95377","1001400","Oct-2016","Large Non-Sortable","Large Non-Sortable. Ships larger products such as barbecues and appliances.",95377,"US",95377,"Tracy","California","CA","San Joaquin",37.6567,-121.4955,95377,"San Joaquin County","location_ CA",6077,"H1",TRUE,"amzn"
"US FC/DC Network","California","PCA1","1565 N MacArthur Drive, Tracy, California, USA. 95376","95376","","2017","Seasonal Supplemental","Amazon uses a portion of this space as a seasonal facility",95376,"US",95376,"Tracy","California","CA","San Joaquin",37.7383,-121.4345,95376,"San Joaquin County","location_ CA",6077,"H1",FALSE,"amzn"
"US FC/DC Network","California","PCA2","1650 East Central Avenue, San Bernardino, California, USA, 92408","92408","","2017","Seasonal Supplemental","Amazon uses a portion of this space as a seasonal facility",92408,"US",92408,"San Bernardino","California","CA","San Bernardino",34.0831,-117.2711,92408,"San Bernardino County","location_ CA",6071,"H1",FALSE,"amzn"
"US FC/DC Network","California","SNA4","2496 West Walnut Ave., Rialto, California, USA, 92376-3009","92376","882200","Nov-2015","Large Non-Sortable","Large Non-Sortable. 300 people ",92376,"US",92376,"Rialto","California","CA","San Bernardino",34.1132,-117.3771,92376,"San Bernardino County","location_ CA",6071,"H1",FALSE,"amzn"
"US FC/DC Network","California","FAT1","3575 S Orange Ave, Fresno, California. USA. 93725-9366","93725","85500","May-2018","Sortable","Sortable. 2,500 associates",93725,"US",93725,"Fresno","California","CA","Fresno",36.6207,-119.7308,93725,"Fresno County","location_ CA",6019,"H1",FALSE,"amzn"
"US FC/DC Network","California","XUSO","657 Nance street, Perris, California_ 92571 USA,","92571","864000","Aug-2017","Large Non-Sortable","Large Non-Sortable. Operated by 3PL NFI Industries",92571,"US",92571,"Perris","California","CA","Riverside",33.811,-117.218,92571,"Riverside County","location_ CA",6065,"H1",FALSE,"amzn"
"US FC/DC Network","California","BFL1","1601 Petrol Road, Bakersfield, California_ 93308 USA,","93308","640000","2020","Small Sortable","Small Sortable",93308,"US",93308,"Bakersfield","California","CA","Kern",35.4244,-119.0433,93308,"Kern County","location_ CA",6029,"H1",FALSE,"amzn"
"US FC/DC Network","California","PSP1","1010 West Fourth Street, Beaumont, California, USA, 92223","92223","640000","2020","Small Sortable","Small Sortable. Project Cherry. ",92223,"US",92223,"Beaumont","California","CA","Riverside",33.9504,-116.9701,92223,"Riverside County","location_ CA",6065,"H1",FALSE,"amzn"
"US FC/DC Network","California","LAX9","11263 Oleander Ave, Building 1, Fontana, California, USA, 92337","92337","680000","Jul-2019","Large Non-Sortable","Large Non-Sortable",92337,"US",92337,"Fontana","California","CA","San Bernardino",34.0498,-117.4706,92337,"San Bernardino County","location_ CA",6071,"H1",FALSE,"amzn"
"US FC/DC Network","California","XIX6 / PCA3","10681 Production Ave, Building 6, Fontana, California, USA, 92337-8006","92337","30000","2019","Large Non-Sortable","Large Non-Sortable. 3PL operated facility, sq ft is estimated",92337,"US",92337,"Fontana","California","CA","San Bernardino",34.0498,-117.4706,92337,"San Bernardino County","location_ CA",6071,"H1",FALSE,"amzn"
"US FC/DC Network","California","","Otay Mesa Road and Enrico Fermi Drive, Otay Mesa, California, USA, 92179","92179","640000","Jul-2020","Small Sortable","Project Arcilla. 4-story Small Sortable FC",92179,"US",92179,"San Diego","California","CA","San Diego",32.7153,-117.1573,92179,"San Diego County","location_ CA",6073,"H1",FALSE,"amzn"
"US FC/DC Network","Colorado ","DEN3","14601 Grant Street, Thornton, Colorado, USA, 80023","80023","855000","Aug-2018","Sortable","Sortable. 1,500 associates",80023,"US",80023,"Broomfield","Colorado","CO","Broomfield",39.9619,-105.0148,80023,"Adams County","location_ CO",8001,"H1",FALSE,"amzn"
"US FC/DC Network","Colorado ","DEN3","14601 Grant Street, Thornton, Colorado, USA, 80023","80023","855000","Aug-2018","Sortable","Sortable. 1,500 associates",80023,"US",80023,"Broomfield","Colorado","CO","Broomfield",39.9619,-105.0148,80023,"Broomfield County","location_ CO",8014,"H6",TRUE,"amzn"
"US FC/DC Network","Colorado ","DEN2","22205 E.19th Avenue, Aurora, Colorado, USA, 80019","80019","1000000","Sep-2017","Large Non-Sortable","Large Non-Sortable. 1,000 associates.",80019,"US",80019,"Aurora","Colorado","CO","Adams",39.7656,-104.7069,80019,"Adams County","location_ CO",8001,"H1",FALSE,"amzn"
"US FC/DC Network","Colorado ","DEN2","22205 E.19th Avenue, Aurora, Colorado, USA, 80019","80019","1000000","Sep-2017","Large Non-Sortable","Large Non-Sortable. 1,000 associates.",80019,"US",80019,"Aurora","Colorado","CO","Adams",39.7656,-104.7069,80019,"Arapahoe County","location_ CO",8005,"H1",TRUE,"amzn"
"US FC/DC Network","Colorado ","DDV5","2889 Himalaya Drive, Aurora, Colorado, USA, 80011","80011","701900","2020","TBD","Role of facility TBD ",80011,"US",80011,"Aurora","Colorado","CO","Adams",39.7378,-104.8152,80011,"Adams County","location_ CO",8001,"H1",FALSE,"amzn"
"US FC/DC Network","Colorado ","DDV5","2889 Himalaya Drive, Aurora, Colorado, USA, 80011","80011","701900","2020","TBD","Role of facility TBD ",80011,"US",80011,"Aurora","Colorado","CO","Adams",39.7378,-104.8152,80011,"Arapahoe County","location_ CO",8005,"H1",TRUE,"amzn"
"US FC/DC Network","Connecticut","BDL2","200 Old Iron Ore Road, Windsor, Connecticut, USA, 06095","06095","1059200","Jun-2016","Small Sortable","Small Sortable. 1800 associates; 4000 robots. Ships toys, clothes, electronics, books",6095,"US",6095,"Windsor","Connecticut","CT","Hartford",41.8561,-72.6639,6095,"Hartford County","location_ CT",9003,"H4",FALSE,"amzn"
"US FC/DC Network","Connecticut","BDL3","Building 3, 415 Washington Ave, North Haven, Connecticut, USA, 06473","06473","855000","Jun-2019","Sortable","Sortable. 2000 associates",6473,"US",6473,"North Haven","Connecticut","CT","New Haven",41.3822,-72.8585,6473,"New Haven County","location_ CT",9009,"H4",FALSE,"amzn"
"US FC/DC Network","Delaware","PHL1","1 CenterPoint Blvd, New Castle, Delaware, USA, 19720-4172","19720","202000","Nov-1997","Large Sortable","Large Sortable. Amazon's 2nd DC in its network",19720,"US",19720,"New Castle","Delaware","DE","New Castle",39.5929,-75.6515,19720,"New Castle County","location_ DE",10003,"H1",FALSE,"amzn"
"US FC/DC Network","Delaware","PHL7 / PHL9","560 Merrimac Ave, Middletown, Delaware, USA, 19709-4652","19709","1035000","Oct-2012","Small Sortable, Make on Demand Printing","PHL7 is Small Sortable. PHL9 is Make on Demand Printing. 3000 full time associates",19709,"US",19709,"Middletown","Delaware","DE","New Castle",39.4815,-75.6832,19709,"New Castle County","location_ DE",10003,"H1",FALSE,"amzn"
"US FC/DC Network","Florida","TPA1","3350 Laurel Ridge Ave, Ruskin, Florida, USA, 33570-5526","33570","1017600","2014","Small Sortable","Small Sortable. 3500 full time people. Facility expanded (doubled) in 2015-2016",33570,"US",33570,"Ruskin","Florida","FL","Hillsborough",27.7015,-82.4355,33570,"Hillsborough County","location_ FL",12057,"H1",FALSE,"amzn"
"US FC/DC Network","Florida","TPA2 / LAL1","1760 County Line Rd. ,
 Lakeland, Florida, USA, 33811- 1808","33811","1000000","Aug-2014","Large Sortable/Non-Sortable","Large Sortable/Non-Sortable. Ships items such as televisions. 800 full time people. ",33811,"US",33811,"Lakeland","Florida","FL","Polk",27.9865,-82.0139,33811,"Polk County","location_ FL",12105,"H1",FALSE,"amzn"
"US FC/DC Network","Florida","TPA6","3400 NW 35th Avenue Rd, Ocala. Florida. USA, 34475","34475","617000","2020","TBD","Fulfillment Center for Ocala FL Area. Project Needles. Role TBD",34475,"US",34475,"Ocala","Florida","FL","Marion",29.2573,-82.161,34475,"Marion County","location_ FL",12083,"H1",FALSE,"amzn"
